timestamp,event_value,sensor_value
2019-04-04 00:00:00.000049,cam,cam_on_obsrv
2019-04-04 00:00:15.020115,fan,fan_on_no_obsrv
2019-04-04 00:00:15.031492,pc_,pc_on_no_obsrv
2019-04-04 00:00:15.139317,scr,scr_on_obsrv
2019-04-04 00:02:12.125632,fan,fan_off_obsrv
2019-04-04 00:30:05.285859,fan,fan_on_obsrv
2019-04-04 00:32:22.276249,fan,fan_off_obsrv
2019-04-04 01:00:00.000000,scr,scr_off_no_obsrv
2019-04-04 01:00:00.000368,cam,cam_off_obsrv
2019-04-04 01:00:21.265141,fan,fan_on_obsrv
2019-04-04 01:03:07.104745,fan,fan_off_no_obsrv
2019-04-04 01:30:43.088058,scr,scr_on_no_obsrv
2019-04-04 01:30:54.040880,fan,fan_on_no_obsrv
2019-04-04 01:30:54.146278,scr,scr_off_obsrv
2019-04-04 02:00:00.000000,fan,fan_off_no_obsrv
2019-04-04 02:00:00.000220,cam,cam_on_obsrv
2019-04-04 02:00:24.675495,pc_,pc_off_no_obsrv
2019-04-04 02:00:24.796118,scr,scr_off_obsrv
2019-04-04 02:01:00.221812,fan,fan_on_obsrv
2019-04-04 02:30:19.050927,fan,fan_off_no_obsrv
2019-04-04 02:30:19.080693,fan,fan_on_obsrv
2019-04-04 03:00:00.000000,fan,fan_off_no_obsrv
2019-04-04 03:00:00.000766,cam,cam_off_obsrv
2019-04-04 03:02:02.040084,fan,fan_on_no_obsrv
2019-04-04 03:30:16.049265,fan,fan_off_no_obsrv
2019-04-04 03:32:39.065612,fan,fan_on_no_obsrv
2019-04-04 03:32:39.224579,fan,fan_off_obsrv
2019-04-04 04:00:00.000579,cam,cam_on_obsrv
2019-04-04 04:02:28.073335,fan,fan_on_no_obsrv
2019-04-04 04:02:28.082028,pc_,pc_on_no_obsrv
2019-04-04 04:02:49.037048,scr,scr_on_no_obsrv
2019-04-04 04:30:13.059348,fan,fan_off_no_obsrv
2019-04-04 04:30:13.244788,fan,fan_on_obsrv
2019-04-04 04:31:02.181049,scr,scr_off_obsrv
2019-04-04 04:32:29.044540,fan,fan_off_obsrv
2019-04-04 04:36:17.663901,doo,door_on_obsrv
2019-04-04 04:37:57.940234,lig,light_on_no_obsrv
2019-04-04 04:37:57.940676,lig,light_off_obsrv
2019-04-04 04:38:01.320443,doo,door_off_obsrv
2019-04-04 05:00:00.000133,cam,cam_off_obsrv
2019-04-04 05:00:07.314610,fan,fan_on_obsrv
2019-04-04 05:02:44.058055,scr,scr_on_no_obsrv
2019-04-04 05:02:44.164156,fan,fan_off_obsrv
2019-04-04 05:32:31.077921,fan,fan_on_no_obsrv
2019-04-04 05:33:44.112169,fan,fan_off_no_obsrv
2019-04-04 05:33:44.344786,scr,scr_off_obsrv
2019-04-04 06:00:00.000542,cam,cam_on_obsrv
2019-04-04 06:02:02.057883,fan,fan_on_no_obsrv
2019-04-04 06:03:42.112264,fan,fan_off_no_obsrv
2019-04-04 06:03:42.812214,pc_,pc_off_no_obsrv
2019-04-04 06:03:43.021255,scr,scr_off_obsrv
2019-04-04 06:03:59.141151,rad,rad_on_obsrv
2019-04-04 06:30:21.121821,fan,fan_on_obsrv
2019-04-04 06:31:23.063164,shd,shd_down_obsrv
2019-04-04 06:32:17.155620,fan,fan_off_obsrv
2019-04-04 06:34:42.134697,rad,rad_off_obsrv
2019-04-04 07:00:00.000068,cam,cam_off_obsrv
2019-04-04 07:02:58.103289,fan,fan_on_no_obsrv
2019-04-04 07:04:29.053195,fan,fan_off_no_obsrv
2019-04-04 07:04:29.053297,shd,shd_up_obsrv
2019-04-04 07:30:36.149880,fan,fan_on_obsrv
2019-04-04 07:33:44.545794,fan,fan_off_no_obsrv
2019-04-04 07:33:44.545849,shd,shd_down_obsrv
2019-04-04 08:00:00.000415,cam,cam_on_obsrv
2019-04-04 08:00:24.027667,pc_,pc_on_no_obsrv
2019-04-04 08:00:37.052525,scr,scr_on_no_obsrv
2019-04-04 08:00:37.191499,fan,fan_on_obsrv
2019-04-04 08:03:36.147122,fan,fan_off_no_obsrv
2019-04-04 08:03:36.147475,shd,shd_up_obsrv
2019-04-04 08:33:22.909603,scr,scr_off_no_obsrv
2019-04-04 08:33:22.909874,shd,shd_down_obsrv
2019-04-04 09:00:00.000181,cam,cam_off_obsrv
2019-04-04 09:00:46.092494,shd,shd_up_obsrv
2019-04-04 09:01:34.824613,doo,door_on_obsrv
2019-04-04 09:01:37.514443,lig,light_on_obsrv
2019-04-04 09:01:39.841373,doo,door_off_obsrv
2019-04-04 09:16:23.000000,scr,scr_on_no_obsrv
2019-04-04 09:16:23.000945,ran,rang_obsrv
2019-04-04 09:16:27.272458,doo,door_on_obsrv
2019-04-04 09:16:32.739124,doo,door_off_obsrv
2019-04-04 09:17:16.993515,win,win2_on_obsrv
2019-04-04 09:27:29.760601,win,win2_off_obsrv
2019-04-04 09:28:18.429924,shd,shd_down_obsrv
2019-04-04 09:29:58.254274,fri,fridge_on_obsrv
2019-04-04 09:30:06.267991,fri,fridge_off_obsrv
2019-04-04 09:51:26.907746,scr,scr_off_no_obsrv
2019-04-04 09:51:26.907889,shd,shd_up_obsrv
2019-04-04 10:00:00.000345,cam,cam_on_obsrv
2019-04-04 10:02:33.065387,fan,fan_on_no_obsrv
2019-04-04 10:03:28.569429,fan,fan_off_no_obsrv
2019-04-04 10:03:28.569441,doo,door_on_obsrv
2019-04-04 10:03:34.102483,doo,door_off_obsrv
2019-04-04 10:04:26.590694,pc_,pc_off_no_obsrv
2019-04-04 10:07:14.093815,scr,scr_off_no_obsrv
2019-04-04 10:07:14.093905,doo,door_on_obsrv
2019-04-04 10:07:18.940478,doo,door_off_obsrv
2019-04-04 10:12:03.037892,doo,door_on_obsrv
2019-04-04 10:12:08.278527,doo,door_off_obsrv
2019-04-04 10:14:09.296925,doo,door_on_obsrv
2019-04-04 10:14:14.122174,doo,door_off_obsrv
2019-04-04 11:00:00.000259,cam,cam_off_obsrv
2019-04-04 11:26:40.836440,doo,door_on_obsrv
2019-04-04 11:26:46.126122,doo,door_off_obsrv
2019-04-04 11:29:06.904026,doo,door_on_obsrv
2019-04-04 11:29:08.490427,lig,light_off_obsrv
2019-04-04 11:29:12.577028,doo,door_off_obsrv
2019-04-04 11:34:24.000623,ran,rang_obsrv
2019-04-04 11:34:35.905558,doo,door_on_obsrv
2019-04-04 11:34:38.550312,lig,light_on_obsrv
