timestamp,event_value,sensor_value
2019-04-04 00:00:00.000049,cam_on,cam_on_obsrv
2019-04-04 00:00:14.747171,fan_on,fan_on_obsrv
2019-04-04 00:00:15.031492,pc_on,pc_on_no_obsrv
2019-04-04 00:00:15.139317,scr_on,scr_on_obsrv
2019-04-04 00:02:12.125632,fan_off,fan_off_obsrv
2019-04-04 00:30:05.285859,fan_on,fan_on_obsrv
2019-04-04 00:32:22.276249,fan_off,fan_off_obsrv
2019-04-04 00:32:40.891712,scr_off,scr_off_obsrv
2019-04-04 01:00:00.000368,cam_off,cam_off_obsrv
2019-04-04 01:00:21.265141,fan_on,fan_on_obsrv
2019-04-04 01:02:45.341925,fan_off,fan_off_obsrv
2019-04-04 01:03:07.757578,scr_on,scr_on_obsrv
2019-04-04 01:30:43.764589,fan_on,fan_on_obsrv
2019-04-04 01:30:54.146278,scr_off,scr_off_obsrv
2019-04-04 01:32:38.662662,fan_off,fan_off_obsrv
2019-04-04 02:00:00.000220,cam_on,cam_on_obsrv
2019-04-04 02:00:24.675495,pc_off,pc_off_no_obsrv
2019-04-04 02:00:24.796118,scr_off,scr_off_obsrv
2019-04-04 02:01:00.221812,fan_on,fan_on_obsrv
2019-04-04 02:02:09.935567,fan_off,fan_off_obsrv
2019-04-04 02:30:19.080693,fan_on,fan_on_obsrv
2019-04-04 02:32:47.666852,fan_off,fan_off_obsrv
2019-04-04 03:00:00.000766,cam_off,cam_off_obsrv
2019-04-04 03:00:24.191963,fan_on,fan_on_obsrv
2019-04-04 03:02:02.771723,fan_off,fan_off_obsrv
2019-04-04 03:30:16.428883,fan_on,fan_on_obsrv
2019-04-04 03:32:39.224579,fan_off,fan_off_obsrv
2019-04-04 04:00:00.000579,cam_on,cam_on_obsrv
2019-04-04 04:00:29.043116,fan_on,fan_on_obsrv
2019-04-04 04:02:28.082028,pc_on,pc_on_no_obsrv
2019-04-04 04:02:28.662259,scr_on,scr_on_obsrv
2019-04-04 04:02:49.659926,fan_off,fan_off_obsrv
2019-04-04 04:30:13.244788,fan_on,fan_on_obsrv
